codigo	medicamento	concentracion	forma	m_res	atc
J 01 19	Bencilpenicilina sódica	1.000.000 UI	Inyectable		J01CE01
J 01 20	Bencilpenicilina sódica	30.000.000 UI	Inyectable		J01CE01
P 01 02	Benznidazol	100 mg	Comprimido		P01CA02
P 03 01	Benzoato de bencilo	20% o 25%	Solución o loción		P03AX01
H 02 13	Betametasona (acetato fosfato)	Según disponibilidad	Inyectable		H02AB01
H 02 01	Betametasona (fosfato)	4 mg	Inyectable	R	H02AB01
D 07 01	Betametasona (valerato)	0,10%	Crema o pomada		D07AC01
A 01 01	Bicarbonato de sodio	20 g	Polvo		A01AB11
B 05 04	Bicarbonato de sodio	8%	Inyectable		B05XA02
B 05 05	Bicarbonato de sodio p/hemodialisis	Frasco por 720 g	Polvo		B05CB04
N 04 01	Biperideno clorhidrato	4 mg	Comprimido		N04AA02
A 06 02	Bisacodilo	5 mg	Comprimido		A06AB02
A 06 03	Bisacodilo	10 mg	Supositorio		A06AB02
L 01 01	Bleomicina	15 UI	Inyectable		L01DC01
G 02 01	Bromocriptina	2,5 mg	Comprimido		G02CB01
G 02 02	Bromocriptina	5 mg	Comprimido		G02CB01
N 01 01	Bupivacaina clorhidrato	0,50%	Inyectable		N01BB01
N 01 02	Bupivacaina clorhidrato (pesada)	0,50%	Inyectable		N01BB01
N 01 03	Bupivacaina clorhidrato con Epinefrina sin conservante	0,5% / 1:200.000	Inyectable		N01BB51
L 01 02	Busulfano	2 mg	Comprimido		L01AB01
A 03 02	Butilbromuro de Hioscina (Butilescopolamina)	10 mg	Comprimido		A03BB01
A 03 03	Butilbromuro de Hioscina (Butilescopolamina)	0,10%	Solución oral gotas		A03BB01
A 03 04	Butilbromuro de Hioscina (Butilescopolamina)	20 mg/ml	Inyectable		A03BB01
A 03 05	Butilbromuro de Hioscina (Butilescopolamina)	10 mg	Supositorio		A03BB01
A 12 01	Calcio (carbonato o citrato)	500 mg (ión calcio)	Comprimido		A12AA04
A 12 02	Calcio + Vitamina D	500 mg (ión calcio) Según disponibilidad	Comprimido ó capsula		A12AX**
L 01 03	Capecitabine	500 mg	Comprimido		L01BC06
J 04 12	Capreomicina	1g	Inyectable		J04AB30
N 03 04	Carbamazepina	200 mg	Comprimido		N03AF01
N 03 05	Carbamazepina	2%	Jarabe		N03AF01
A 07 01	Carbón medicinal activado	5 g	Polvo		A07BA01
L 01 04	Carboplatino	450 mg	Inyectable		L01XA02
L 01 32	Carboplatino	150 mg	Inyectable		L01XA02
C 07 04	Carvedilol	6,25 mg	Comprimido		C07AG02
C 07 05	Carvedilol	12,5 mg	Comprimido		C07AG02
J 01 21	Cefazolina	1 g	Inyectable		J01DB04
J 01 58	Cefixima	400 mg	Comprimido ó capsula	R	J01DD08
J 01 63	Cefixima	100 mg / 5 ml	Suspensión		J01DD08
J 01 22	Cefotaxima	1 g	Inyectable		J01DD01
J 01 23	Cefradina	500 mg	Cápsula o Comprimido		J01DB09
J 01 24	Cefradina	250 mg/5 ml	Suspensión		J01DB09
J 01 25	Ceftazidima	1 g	Inyectable		J01DD02
J 01 26	Ceftriaxona	1 g	Inyectable		J01DD04
R 06 07	Cetirizina	10 mg	Comprimido o Cápsula		R06AE07
R 06 08	Cetirizina	5 mg/ 5 ml	Jarabe		R06AE07
A 11 04	Cianocobalamina (Vitamina B12)	1 mg/ml	Inyectable		A11EA**
L 01 05	Ciclofosfamida	500 mg	Inyectable		L01AA01
L 01 06	Ciclofosfamida	1 g	Inyectable		L01AA01
L 01 07	Ciclofosfamida	50 mg	Comprimido		L01AA01
J 04 01	Cicloserina	250 mg	Cápsula		J04AB01
L 04 03	Ciclosporina	100 mg/ml	Solución oral		L04AA01
L 04 04	Ciclosporina	100 mg	Cápsula blanda		L04AA01
L 04 05	Ciclosporina	25 mg	Cápsula blanda		L04AA01
L 04 06	Ciclosporina	50 mg	Cápsula blanda		L04AA01
S 01 03	Ciclosporina	0,10%	Solución oftálmica		S01X**
J 01 27	Ciprofloxacina	500 mg	Comprimido		J01MA02
J 01 28	Ciprofloxacina	200 mg	Inyectable		J01MA02
S 01 04	Ciprofloxacina	0,30%	Solución oftálmica		S01AX13
L 02 02	Ciproterona (acetato)	50 mg	Comprimido		L02AX**
G 03 01	Ciproterona acetato + Estradiol valerato	2 mg+1mg	Comprimido		G03HA01
G 03 02	Ciproterona acetato + Estradiol valerato	0,035 mg+ 2 mg	Comprimido		G03HA01
L 01 08	Cisplatino	10 mg	Inyectable		L01XA01
L 01 09	Cisplatino	50 mg	Inyectable		L01XA01
L 01 10	Citarabina	100 mg	Inyectable		L01BC01
L 01 11	Citarabina	500 mg	Inyectable		L01BC01
J 01 29	Claritromicina	500 mg	Comprimido	R	J01FA09
J 01 30	Claritromicina	250 mg/5 ml	Suspensión	R	J01FA09
J 01 31	Clindamicina	75 mg/5ml	Suspensión	R	J01FF01
J 01 56	Clindamicina	300 mg	Comprimido	R	J01FF01
J 01 64	Clindamicina	600 mg	Inyectable		J01FF01
D 07 02	Clobetasol	0,05%	Crema o pomada		D07AD01
D 07 03	Clobetasol	0,05%	Solución		D07AD01
J 04 02	Clofazimina	50 mg	Cápsula		J04BA01
G 03 03	Clomifeno citrato	50 mg	Comprimido		G03GB02
N 06 02	Clomipramina	75 mg	Comprimido		N06AA04
N 06 03	Clomipramina (clorhidrato)	25 mg/2ml	Inyectable		N06AA04
N 03 06	Clonazepam	2 mg	Comprimido		N03AE01
N 03 12	Clonazepam	2,5 mg/ ml	Solucion oral		N03AE01
B 01 06	Clopidogrel	75 mg	Comprimido	R	B01AC04
J 01 32	Cloranfenicol	500 mg	Cápsula		J01BA01
S 01 05	Cloranfenicol	0,50%	Solución oftálmica		S01AA01
S 01 06	Cloranfenicol	1%	Unguento		S01AA01
J 01 33	Cloranfenicol succinato sódico	1 g	Inyectable		J01BA01
R 06 01	Clorfenamina (Clorfeniramina)	4 mg	Comprimido		R06AB04
R 06 02	Clorfenamina (Clorfeniramina)	2 mg/5ml	Jarabe		R06AB04
R 06 03	Clorfenamina (Clorfeniramina)	10 mg/ml	Inyectable		R06AB04
D 08 02	Clorhexidina gluconato	Según disponibilidad	Solución		D08AC02
P 01 03	Cloroquina fosfato	250 mg (150 mg base)	Comprimido		P01BA01
N 05 02	Clorpromazina	100 mg	Comprimido		N05AA01
N 05 03	Clorpromazina	12,5 mg/ml	Inyectable		N05AA01
B 05 06	Cloruro de potasio	20%	Inyectable		B05XA01
A 12 03	Cloruro de potasio	1,3 mEq/ml	Solución oral		A12BA01
B 05 07	Cloruro de sodio	20%	Inyectable		B05CB01
D 01 03	Clotrimazol	1%	Crema o pomada		D01AC01
G 01 02	Clotrimazol	100 mg	Ovulo		G01AF02
G 01 03	Clotrimazol	1%	Crema vaginal		G01AF02
J 01 34	Cloxacilina	500 mg	Inyectable		J01CF02
J 01 36	Cloxacilina	1 g	Inyectable		J01CF02
N 02 02	Codeína	30 mg	Comprimido		N02AA07
R 05 02	Codeína	10 mg/5 ml	Jarabe		R05DA04
M 04 02	Colchicina	0,5 mg	Comprimido		M04AC01
A 11 05	Colecalciferol (Vitamina D3)	0,25 mcg	Comprimido		A11CC05
A 11 06	Complejo B (B1+B6+B12)	Según concentración estandar	Comprimido		A11DB**
A 11 07	Complejo B (B1+B6+B12)	Según concentración estandar	Inyectable		A11DB**
A 11 08	Complejo de vitaminas y minerales (Uso pediatría)	Según disponibilidad	Polvo para	R	A11JC**
V 08 01	Contraste iodado	Según disponibilidad (10 ml)	Inyectable		V08AB**
V 08 02	Contraste iodado	Según disponibilidad (50 ml)	Inyectable		V08AB**
V 08 03	Contraste iodado	Según disponibilidad (100 o 200)	Inyectable		V08AB**
C 05 01	Corticoide + anestésico	Según disponibilidad	Supositorio		C05AX03
C 05 02	Corticoide + anestésico	Según disponibilidad	Crema o pomada		C05AX03
S 01 24	Corticoide + antiinfeccioso de accion tópica	Según disponibilidad	Solución oftálmica		S01CA01
S 01 25	Corticoide + antiinfeccioso de accion tópica	Según disponibilidad	Unguento		S01CA01
H 01 01	Corticotrofina (ACTH)	25 UI o 40 UI	Inyectable		H01AA01
J 01 37	Cotrimoxazol (Sulfametoxazol - Trimetoprima)	800+160 mg	Comprimido		J01EE01
J 01 38	Cotrimoxazol (Sulfametoxazol - Trimetoprima)	200+40 mg/5 ml	Suspensión		J01EE01
J 01 39	Cotrimoxazol (Sulfametoxazol - Trimetoprima)	100 mg+20mg	Comprimido		J01EE01
J 01 40	Cotrimoxazol (Sulfametoxazol - Trimetoprima)	400 mg+80mg	Comprimido		J01EE01
J 01 60	Cotrimoxazol (Sulfametoxazol - Trimetoprima)	400 mg+80mg/5ml	Inyectable		J01EE01
J 01 65	Cotrimoxazol (Sulfametoxazol - Trimetoprima)	400 mg+80mg/ 5 ml	Suspensión		J01EE01
L 01 12	Dacarbazina	200 mg	Inyectable		L01AX04
L 01 13	Dactinomicina	0,5 mg/ml	Inyectable		L01DA01
J 04 03	Dapsona	100 mg	Comprimido		J04BA02
V 03 02	Deferoxamina mesilato	500 mg	Inyectable		V03AC01
H 01 02	Desmopresina acetato	0,1 mg/ml	Solución nasal		H01BA02
S 01 09	Dexametasona	0,10%	Solución oftálmica		S01BA01
S 01 10	Dexametasona	0,10%	Unguento o Pomada oftálmica		S01BA01
H 02 02	Dexametasona	4 mg	Comprimido		H02AB02
H 02 03	Dexametasona	0,5 mg	Comprimido		H02AB02
H 02 04	Dexametasona	4 mg/ml	Inyectable		H02AB02
B 05 08	Dextrán 70	6%	Solucion parenteral de gran volumen		B05AA05
R 05 03	Dextrometorfano bromhidrato	10 mg/5 ml	Jarabe		R05DA09
N 05 04	Diazepam	10 mg	Comprimido		N05BA01
N 05 05	Diazepam	10 mg	Inyectable		N05BA01
N 05 06	Diazepam	5 mg	Comprimido		N05BA01
M 01 01	Diclofenaco	1%	Pomada o Gel		M01AB05
M 01 02	Diclofenaco	50 mg	Comprimido		M01AB05
M 01 03	Diclofenaco	75 mg	Inyectable		M01AB05
S 01 11	Diclofenaco	0,10%	Solución oftálmica		S01BC03
J 01 41	Dicloxacilina sódica	500 mg	Cápsula		J01CF01
J 01 42	Dicloxacilina sódica	250 mg/5 ml	Suspensión		J01CF01
J 01 43	Dicloxacilina sódica	250 mg	Cápsula o Comprimido		J01CF01
J 05 05	Didanosina	400 mg	Cápsula o Comprimido		J05AF02
J 05 06	Didanosina	250 mg	Cápsula o Comprimido		J05AF02
J 05 07	Didanosina	20 mg/ml	Polvo para suspensión oral		J05AF02
J 05 08	Didanosina	100 mg	Cápsula o Comprimido		J05AF02
J 05 09	Didanosina	25 mg	Cápsula o Comprimido		J05AF02
C 01 04	Digoxina	0,75 mg/ml	Solución oral		C01AA05
C 01 05	Digoxina	0,25 mg/ml	Inyectable		C01AA05
C 01 06	Digoxina	0,25 mg	Comprimido		C01AA05
N 07 01	Dimenhidrinato	50 mg	Comprimido		N07X**
N 07 02	Dimenhidrinato	50 mg	Supositorio		N07X**
N 07 03	Dimenhidrinato	50 mg/ml	Inyectable		N07X**
V 03 03	Dimercaprol (B.A.L.)	100 mg/ml	Inyectable		V03AB09
C 01 07	Dinitrato de isosorbida (Isosorbide dinitrato)	5 mg	Comprimido		C01DA08
N 07 04	Disulfiram	250 mg o 500 mg	Comprimido		N07BB01
C 01 08	Dobutamina clorhidrato	250 mg	Inyectable		C01CA07
A 03 06	Domperidona	10 mg	Comprimido		A03FA03
C 01 09	Dopamina clorhidrato	200 mg	Inyectable		C01CA04
S 01 12	Dorzolamida	2%	Solución oftálmica		S01EC03
J 01 44	Doxiciclina	100 mg	Cápsula o Comprimido		J01AA02
L 01 14	Doxorubicina clorhidrato (Adriamicina clorh.)	10 mg	Inyectable		L01DB01
L 01 15	Doxorubicina clorhidrato (Adriamicina clorh.)	50 mg	Inyectable		L01DB01
N 01 04	Droperidol	2,5 mg/ml	Inyectable		N01AX01
V 03 04	Edetato sódico de calcio (EDTA)	20%	Inyectable		V03AB03
J 05 10	Efavirenz	600 mg	Comprimido		J05AG03
B 05 09	Emulsión de lípidos	Según disponibilidad	Emulsión		B05BA02
C 09 01	Enalapril maleato	10 mg	Comprimido		C09AA02
C 01 10	Epinefrina (Adrenalina)	1 mg/ml	Inyectable		C01CA24
G 02 03	Ergometrina maleato	0,2 mg	Comprimido		G02AB03
G 02 04	Ergometrina maleato	0,2 mg/ml	Inyectable		G02AB03
N 02 03	Ergotamina tartrato + Cafeina	1 mg+100 mg	Comprimido		N02CA72
D 10 01	Eritromicina	2% a 4%	Loción		D10AF02
J 01 45	Eritromicina estearato	500 mg	Cápsula o Comprimido		J01FA01
J 01 46	Eritromicina etilsuccinato	250 mg/5 ml	Suspensión		J01FA01
B 03 02	Eritropoyetina	10.000 UI	Inyectable		B03XA01
B 03 03	Eritropoyetina	4.000 UI	Inyectable		B03XA01
C 03 02	Espironolactona	100 mg	Comprimido		C03DA01
C 03 03	Espironolactona	25 mg	Comprimido		C03DA01
J 05 11	Estavudina	40 mg	Cápsula o Comprimido		J05AF04
J 05 12	Estavudina	30 mg	Cápsula o Comprimido		J05AF04
J 05 13	Estavudina	1 mg/ml	Polvo para suspensión oral		J05AF04
G 03 04	Estradiol + Noretisterona acetato	2 mg+1mg	Comprimido		G03FB05
G 03 05	Estradiol valerianato + Norgestrel	2 mg+0,5 mg	Comprimido		G03FA10
G 03 06	Estradiol valerianato + Prasterona enantato	4 mg+200 mg/ml	Inyectable		G03EA03
J 04 04	Estreptomicina sulfato	1 g	Inyectable		J04AM**
B 01 02	Estreptoquinasa	1.500.000 UI	Inyectable		B01AD01
G 03 07	Estrógenos conjugados	0,625 mg	Comprimido		G03CA57
G 03 08	Estrógenos conjugados	1,25 mg	Comprimido		G03CA57
G 03 09	Estrógenos conjugados	0,625 mg	Crema vaginal		G03CA57
J 04 05	Etambutol	400 mg	Comprimido	C	J04AK02
B 02 03	Etamsilato	250 mg/2ml	Inyectable	R	B02BX01
D 08 03	Eter alifático dietilamino etanol	1 l	Solución		D08AC**
C 01 13	Etilefrina	10 mg/ml	Inyectable		C01CA01
J 04 06	Etionamida	250 mg	Comprimido		J04AD03
L 01 16	Etopósido	100mg/5ml	Inyectable		L01CB01
N 03 07	Fenitoína	50 mg/ml	Inyectable		N03AB02
N 03 08	Fenitoína	100 mg	Cápsula o Comprimido		N03AB02
N 03 09	Fenobarbital	100 mg	Comprimido		N03AA02
N 03 10	Fenobarbital	20 mg/ml	Gotas		N03AA02
N 03 11	Fenobarbital	100 mg/ml	Inyectable		N03AA02
N 01 05	Fentanilo con conservante	0,05 mg/ml	Inyectable		N01AH01
N 01 06	Fentanilo sin conservante	0,05 mg/ml	Inyectable		N01AH01
A 06 04	Fibra natural	Según disponibilidad	Polvo o granulado		A06AC07
L 03 01	Filgrastrim	300 mcg/ml	Inyectable		L03AA02
G 04 01	Finasteride	5 mg	Comprimido		G04CB01
B 02 02	Fitomenadiona (Vitamina K1)	10 mg/ml	Inyectable		B02BA01
J 02 02	Fluconazol	200 mg	Inyectable		J02AC01
J 02 03	Fluconazol	150 mg	Comprimido		J02AC01
V 03 05	Flumazenil	0,5 mg/5 ml	Inyectable		V03AB25
S 01 13	Fluoresceína	10%	Inyectable		S01JA01
S 01 14	Fluoresceína (sal sódica)	0,25%	Solución oftálmica		S01JA01
L 01 17	Fluorouracilo	500mg/10ml	Inyectable		L01BC02
A 01 02	Fluoruro de sodio	Según Programa	Gel o pasta		A01AA01
A 12 04	Fluoruro de sodio	0,20%	Solución oral	Prog	A12CD01
N 06 04	Fluoxetina	20 mg	Cápsula o Comprimido		N06AB03
L 02 03	Flutamida	250 mg	Comprimido		L02BB01
D 08 04	Formaldehido	40% p/v	Solución		D08AC**
C 03 04	Furosemida	40 mg	Comprimido		C03CA01
C 03 05	Furosemida	10 mg/ml	Inyectable		C03CA01
N 03 13	Gabapentina	300 mg	Comprimido o capsula		N03AX12
N 03 14	Gabapentina	600 mg	Comprimido o capsula		N03AX12
V 08 04	Gadodiamida	287 mg/ml	Inyectable		V08CA03
V 08 05	Gadopentato de dimeglumina	469 mg/ml	Inyectable		V08CA01
L 01 18	Gemcitabine	1 g	Inyectable		L01BC05
L 01 33	Gemcitabine	200 mg	Inyectable		L01BC05
C 10 02	Genfibrozilo	600 mg	Comprimido		C10AB04
S 01 15	Gentamicina	0,30%	Unguento		S01AA11
S 01 16	Gentamicina	0,30%	Solución oftálmica		S01AA11
J 01 48	Gentamicina sulfato	20 mg	Inyectable		J01GB03
J 01 49	Gentamicina sulfato	80 mg	Inyectable		J01GB03
A 10 01	Glibenclamida	5 mg	Comprimido		A10BB01
S 02 01	Glicerina+carbonato de sodio	Según disponibilidad	Gotas óticas		S02DA30
D 02 01	Glicerol (Glicerina bidestilada)	1 l	Solución		D02AX**
A 06 05	Glicerol (Glicerina)	2 g a 4 g (adulto)	Supositorio		A06AX01
A 06 06	Glicerol (Glicerina)	1 g a 1,80 g (infantil)	Supositorio		A06AX01
B 05 10	Gluconato Cálcico (Calcio Gluconato)	10%	Inyectable		B05XA07
G 03 10	Gonadotrofina coriónica	5.000 UI/ml	Inyectable		G03GA01
J 02 04	Griseofulvina	500 mg	Comprimido		J02AX**
J 02 05	Griseofulvina	125 mg/ 5 ml	Suspensión		J02AX**
N 05 07	Haloperidol	2 mg/ml	Solución oral		N05AD01
N 05 08	Haloperidol	5 mg	Comprimido		N05AD01
N 05 09	Haloperidol decanoato	50 mg/ml	Inyectable		N05AD01
N 01 07	Halotano	0,01% de timol	Solución		N01AB01
B 01 03	Heparina de bajo peso molecular	Según disponibilidad	Inyectable	R	B01AB**
B 01 04	Heparina sódica	5.000 UI/ml	Inyectable		B01AB01
C 02 01	Hidralazina clorhidrato	50 mg	Comprimido		C02DB02
C 02 02	Hidralazina clorhidrato	10 mg	Comprimido		C02DB02
C 02 03	Hidralazina clorhidrato	20 mg/ml	Inyectable		C02DB02
C 03 06	Hidroclorotiazida	50 mg	Comprimido		C03AA03
C 03 07	Hidroclorotiazida+Amilorida	50 mg+5 mg	Comprimido		C03AX01
D 07 04	Hidrocortisona acetato	1%	Crema o pomada		D07AA02
H 02 05	Hidrocortisona succinato sódico	100 mg	Inyectable		H02AB09
H 02 06	Hidrocortisona succinato sódico	250 mg	Inyectable		H02AB09
D 11 01	Hidroquinona	4% o 5%	Loción		D11AX11
D 11 02	Hidroquinona	4% o 5 %	Crema o pomada		D11AX11
A 02 01	Hidroxido de aluminio y magnesio	01:01	Suspensión		A02AD01
L 01 19	Hidroxiurea	500 mg	Cápsula		L01XX05
B 03 04	Hierro	100 mg - IM/IV	Inyectable		B03AC02
D 08 05	Hipoclorito de sodio	8%	Solución		D08AX07
M 01 04	Ibuprofeno	100 mg/5 ml	Suspensión		M01AE01
M 01 05	Ibuprofeno	400 mg	Comprimido		M01AE01
L 01 20	Ifosfamida	1 g	Inyectable		L01AA06
J 01 50	Imipenem + Cilastatina	500 mg+500 mg	Inyectable	R	J01DH51
N 06 05	Imipramina clorhidrato	25 mg	Comprimido		N06AA02
J 05 14	Indinavir	400 mg	Cápsula		J05AE02
