codigo	medicamento	concentracion	forma	m_res	atc
J 05 19	Nelfinavir	50 mg/g	Polvo		J05AE04
N 07 05	Neostigmina	0,5 mg/ml	Inyectable		N07AA01
J 05 20	Nevirapina	200 mg	Comprimido		J05AG01
J 05 21	Nevirapina	10 mg/ml	Suspensión		J05AG01
P 02 06	Niclosamida	500 mg	Comprimido		P02DA01
C 08 08	Nifedipino	10 mg	Comprimido o capsula		C08CA05
P 01 10	Nifurtimox	120 mg	Comprimido		P01CC01
C 08 02	Nimodipina	30 mg	Cápsula		C08CA06
C 08 03	Nimodipina	0,2 mg/ml	Inyectable		C08CA06
G 01 05	Nistatina	100.000 UI	Ovulo		G01AA01
A 07 03	Nistatina	500.000 UI	Comprimido		A07AA02
D 01 04	Nistatina	100.000 UI/g	Crema o pomada		D01AAO1
A 07 04	Nistatina	500.000 UI/ 5 ml	Suspensión		A07AA02
P 01 11	Nitazoxanida	500 mg	Comprimido		P01AB**
D 08 09	Nitrofural (Nitrofurazona)	0,2% (450 g)	Crema o pomada		D08AF01
J 01 51	Nitrofurantoína	100 mg	Comprimido		J01XE01
J 01 52	Nitrofurantoína	25 mg/5 ml	Suspensión		J01XE01
C 01 12	Nitroglicerina (Trinitrato de glicerol)	5 mg/ml	Inyectable		C01DA02
C 02 05	Nitroprusiato de sodio	25 mg/ml	Inyectable		C02DD01
G 03 15	Noretisterona	5 mg	Comprimido		G03DC02
G 03 16	Norgestrel + Etinilestradiol	0,3 mg+0,03 ó 0,5 mg+0,05 mg	Comprimido		G03FB01
J 01 53	Ofloxacina	400 mg	Comprimido	R	J01MA01
J 01 59	Ofloxacina	200 mg	Comprimido	R	J01MA01
B 05 11	Oligoelementos para nutricion parenteral	Según disponibilidad	Solucion parenteral de gran volumen		B05BA10
A 02 02	Omeprazol	20 mg	Cápsula		A02BC01
A 02 05	Omeprazol	40 mg/ml	Inyectable	R	A02BC01
A 04 01	Ondansetrón	8 mg	Inyectable		A04AA01
A 04 02	Ondansetrón	8 mg	Comprimido		A04AA01
L 01 34	Oxaliplatino	50 mg	Inyectable		L01XA03
L 01 35	Oxaliplatino	100 mg	Inyectable		L01XA03
D 02 02	Oxido de Zinc con o sin aceite	Según disponibilidad	Pasta o pomada		D02AB**
V 03 10	Oxígeno	99%	Gas		V03AN01
G 02 05	Oxitocina	5 UI/ml	Inyectable		G02AX**
L 01 28	Paclitaxel	30 mg/ 5ml	Inyectable		L01CD01
N 02 08	Paracetamol (Acetaminofeno)	500 mg	Comprimido		N02BE01
N 02 09	Paracetamol (Acetaminofeno)	125 mg/5 ml o 120 mg/5 ml	Jarabe		N02BE01
N 02 10	Paracetamol (Acetaminofeno)	100 mg/ml	Gotas		N02BE01
N 02 11	Paracetamol (Acetaminofeno)	100 mg	Supositorio		N02BE01
N 02 12	Paracetamol (Acetaminofeno)	100 mg	Comprimido		N02BE01
M 01 08	Penicilamina	250 mg	Comprimido		M01CC01
P 01 12	Pentamidina	200 mg	Inyectable		P01CX01
P 01 13	Pentamidina	300 mg	Inyectable		P01CX01
V 03 11	Permanganato de potasio	1:10.000	Solución acuosa		V03AB18
P 03 02	Permetrina	1%	Loción		P03AC04
P 03 03	Permetrina	5%	Crema o pomada		P03AC04
D 10 02	Peróxido de Benzoílo	5%	Loción		D10AE01
D 10 03	Peróxido de Benzoílo	5%	Crema o pomada		D10AE01
D 08 10	Peróxido de hidrógeno (Agua oxigenada)	2% o 3%	Solución		D08AX01
N 02 13	Petidina (Meperidina)	100 mg	Inyectable		N02AB02
P 02 07	Pirantel pamoato	250 mg	Comprimido		P02CC01
P 02 08	Pirantel pamoato	250 mg/5 ml	Suspensión		P02CC01
J 04 08	Pirazinamida	500 mg	Comprimido	C	J04AK01
A 11 11	Piridoxina clorhidrato (Vitamina B6)	300 mg	Comprimido		A11HA02
A 11 12	Piridoxina clorhidrato (Vitamina B6)	300 mg	Inyectable		A11HA02
P 01 14	Pirimetamina	25 mg	Comprimido		P01BD01
V 03 12	Pralidoxima	1 g	Inyectable		V03AB04
P 02 09	Prazicuantel	600 mg	Comprimido		P02BA01
H 02 08	Prednisona	5 mg	Comprimido		H02AB07
H 02 09	Prednisona	20 mg	Comprimido		H02AB07
H 02 10	Prednisona	1 mg/ml	Suspensión		H02AB07
P 01 15	Primaquina fosfato	26,3 mg (15 mg base)	Comprimido		P01BA03
P 01 16	Primaquina fosfato	26,3 mg (15 mg base) / 5ml	Suspensión		P01BA03
H 03 02	Propiltiouracilo	50 mg	Comprimido		H03BA02
A 03 10	Propinoxato	10 mg	Comprimido		A03AC**
A 03 11	Propinoxato	5 mg/ml	Inyectable		A03AC**
N 01 13	Propofol	10 mg/ml	Inyectable		N01AX10
C 07 02	Propranolol	40 mg	Comprimido		C07AA05
C 07 03	Propranolol	1 mg/ml	Inyectable		C07AA05
V 03 13	Protamina Sulfato	10 mg/ml	Inyectable		V03AB14
V 06 01	Proteinas para alimentación enteral (alimento)	Según disponibilidad	Polvo		V06DB**
S 01 20	Proximetacaina (Proparacaina)	0,50%	Solución oftálmica		S01HA04
P 01 17	Quinina (bisulfato o sulfato)	300 mg	Comprimido		P01BC01
P 01 18	Quinina (diclorhidrato)	600 mg	Inyectable		P01BC01
A 02 03	Ranitidina	150 mg	Comprimido		A02BA02
A 02 04	Ranitidina	50 mg	Inyectable		A02BA02
N 01 16	Remifentanilo	5 mg	Inyectable		N01AH06
D 06 01	Resina de Podofilo (Podofilina)	10% o 25%	Solución tópica		D06BB04
D 10 04	Resorcinol	10%	Crema o pomada		D10AX02
A 11 13	Retinol (Vitamina A)	10.000 UI	Cápsula o perla		A11CA01
A 11 14	Retinol (Vitamina A)	25.000 UI	Cápsula o perla		A11CA01
A 11 15	Retinol (Vitamina A)	100.000 UI	Cápsula o perla		A11CA01
A 11 16	Retinol (Vitamina A)	200.000 UI	Cápsula o perla		A11CA01
J 04 09	Rifampicina	100 mg/5 ml	Suspensión		J04AB02
J 04 10	Rifampicina	300 mg	Cápsula o Comprimido		J04AB02
J 04 14	Rifampicina + Isoniazida (INH)	300 mg +150 mg	Comprimido	C	J04AM02
N 05 12	Risperidona	3 mg	Comprimido		N05AX08
G 02 06	Ritodrina	10 mg	Comprimido		G02CA01
G 02 07	Ritodrina	10 mg/ml	Inyectable		G02CA01
J 05 22	Ritonavir	100 mg	Cápsula blanda		J05AE03
M 03 03	Rocuronio bromuro	10 mg/ml	Inyectable		M03AC09
R 03 04	Salbutamol	5 mg/ml	Solución para nebulización		R03AC02
R 03 05	Salbutamol	4 mg	Comprimido		R03CC02
R 03 06	Salbutamol	0,1 mg/inhalación	Aerosol		R03AC02
A 07 06	Sales de rehidratación oral (SRO) baja	Según concentración estandar	Sobres		A07CA**
R 03 11	Salmeterol + Fluticasona	25 mcg + 125 mcg	Aerosol		R03AK06
N 01 14	Sevoflurano (Trifluorometil etil)	250 ml	Solución	R	N01AB08
A 03 12	Simeticona	3% o 4%	Suspensión		A03AX13
A 03 13	Simeticona	100 mg	Comprimido		A03AX13
B 05 13	Solucion Acida	Según disponibilidad	Solución		B05Z**
B 05 14	Solución Básica	Según disponibilidad	Solución		B05Z**
B 05 15	Solución de glucosa	5% (500 ml)	Solucion parenteral de gran volumen		B05CX01
B 05 16	Solución de glucosa	5% (1.000 ml)	Solucion parenteral de gran volumen		B05CX01
B 05 17	Solución de glucosa	10% (500 ml)	Solucion parenteral de gran volumen		B05CX01
B 05 18	Solución de glucosa	10% (1.000 ml)	Solucion parenteral de gran volumen		B05CX01
